Date,Page,Total Followers,New Followers,Total Post Engagements,Total Posts
2024-03-24,SouJunior,84625,21618,3304,337
2024-03-24,Le Wagon,76224,4694,2222,33
2024-03-24,GitHub Brasil,140799,18520,7739,46
2024-03-24,Tech Pro Bem,11725,768,158,2
2024-03-24,Trampar na Gringa,119714,38901,9589,73
2024-03-24,VagasUX,42452,2076,3117,60
2024-03-24,Bichinhos da TI,6754,5230,2164,40
2024-01-16,SouJunior,65813,39640,11755,475
2024-01-16,VagasUX,40758,9026,20905,265
2024-01-16,Le Wagon,73203,18372,15642,127
2024-01-16,Trampar na Gringa,88035,65185,25802,356
2024-01-16,Tech Pro Bem,11098,5349,2069,26
