"Date","Function","Total Followers"
"2024-03-24","Engenharia","14959"
"2024-03-24","Marketing","860"
"2024-03-24","Educação","3102"
"2024-03-24","Desenvolvimento de negócios","2786"
"2024-03-24","Administração","2776"
"2024-03-24","Arte e design","2500"
"2024-03-24","Vendas","1982"
"2024-03-24","Controle de qualidade","1782"
"2024-03-24","Suporte","1654"
"2024-03-24","Pesquisa","1225"
"2024-03-24","Recursos humanos","1200"
"2024-03-24","Financeiro","941"
"2024-03-24","Gestão de produtos","802"
"2024-03-24","Tecnologia da informação","11699"
"2024-03-24","Gestão de projetos","752"
"2024-03-24","Mídia e comunicação","690"
"2024-03-24","Contabilidade","615"
"2024-03-24","Saúde","511"
"2024-03-24","Serviços sociais e comunitários","436"
"2024-03-24","Área jurídica","391"
"2024-03-24","Consultoria","339"
"2024-03-24","Serviços de proteção e militares","339"
"2024-03-24","Empreendedorismo","307"
"2024-03-24","Imóveis","278"
"2024-03-24","Operações","4151"
"2024-03-24","Compras","179"
"2024-01-16","Tecnologia da informação","9182"
"2024-01-16","Compras","137"
"2024-01-16","Operações","3199"
"2024-01-16","Educação","2442"
"2024-01-16","Desenvolvimento de negócios","2195"
"2024-01-16","Arte e design","2101"
"2024-01-16","Administração","2095"
"2024-01-16","Controle de qualidade","1511"
"2024-01-16","Vendas","1495"
"2024-01-16","Suporte","1261"
"2024-01-16","Pesquisa","982"
"2024-01-16","Recursos humanos","934"
"2024-01-16","Financeiro","715"
"2024-01-16","Marketing","658"
"2024-01-16","Gestão de produtos","653"
"2024-01-16","Gestão de projetos","559"
"2024-01-16","Mídia e comunicação","530"
"2024-01-16","Contabilidade","484"
"2024-01-16","Saúde","399"
"2024-01-16","Serviços sociais e comunitários","343"
"2024-01-16","Área jurídica","310"
"2024-01-16","Consultoria","272"
"2024-01-16","Serviços de proteção e militares","261"
"2024-01-16","Empreendedorismo","227"
"2024-01-16","Imóveis","210"
"2024-01-16","Engenharia","12003"
